product_code,order_number,quantity
490647,516,1
229877,588,1
membership_product,621,1
725978,678,1
820664,738,1
549603,307,1
20066308377,43,2
777988,663,1
132588,150,1
861367,248,1
418021,348,1
103112,390,16
315683,417,1
861367,518,1
104269,261,1
418021,321,1
101477,366,1
200167,400,3
777988,566,1
622380,607,2
290533,660,1
106089,698,3
648964,892,1
200167,183,1
103232,684,1
717941,174,1
120732,267,4
110788,321,1
648964,377,2
834017,401,2
membership_product,568,1
725900,608,1
536163,655,2
835946,704,1
110786,347,1
150017,221,1
105715,684,1
200167,105,2
membership_product,323,1
149100,379,3
260113,402,1
217983,487,1
membership_product,570,1
722634,608,3
418021,665,3
725900,705,1
9520005,898,2
315678,588,3
836092,621,2
200167,316,4
418021,638,2
861367,250,5
membership_product,291,1
315683,355,1
525846,393,1
835416,417,1
625496,522,1
834017,589,2
159773,623,2
100682,685,1
772288,751,1
217983,326,2
128990,196,1
418021,658,4
861367,253,1
315682,355,3
103112,394,1
762825,436,1
120697,533,2
260113,590,1
820445,625,1
101827,685,3
520772,752,1
229877,905,1
membership_product,931,1
498639,975,1
835944,909,1
709786,936,1
297331,976,2
833811,910,3
160014,937,1
218452,976,1
835397,910,2
709786,938,1
835944,976,2
833811,911,3
315678,977,1
835397,911,2
110786,943,1
854258,977,1
709786,913,1
242158,977,1
100682,913,2
membership_product,947,1
854258,978,1
648964,915,2
229161,955,1
240685,978,1
membership_product,929,1
290628,974,2
242159,974,2
455723,908,3
455723,933,3
121203,975,3
455198,936,1
240683,976,1
278212,910,3
455723,937,1
481942,976,1
455198,938,1
859536,977,2
278212,911,3
418021,943,1
854250,977,1
648964,912,2
217983,943,1
855314,977,1
777988,913,1
217983,945,1
115282,977,1
795223,914,1
455723,949,3
854250,978,2
membership_product,928,1
230089,974,1
389427,461,1
749747,461,1
627163,462,1
627163,463,1
805012,465,1
301804,467,1
209896,469,2
124706,470,2
812057,471,1
124715,472,2
662596,473,2
751433,475,2
877713,477,2
211203,479,1
805100,481,1
790958,483,1
805100,485,1
211203,489,1
318366,491,5
707190,491,1
707192,491,1
861254,493,6
211203,494,1
858804,495,1
211203,497,1
831211,501,2
211203,505,1
211203,507,1
781236,510,1
696123,514,1
702987,516,1
211203,518,1
124710,519,1
211203,520,1
805100,522,1
211203,532,1
688809,534,2
766987,535,1
211203,537,1
211203,539,1
854363,541,1
211203,543,1
211203,545,1
211203,547,1
805755,549,1
855598,551,2
211203,553,1
707749,555,1
211203,561,1
211203,569,1
814793,571,1
211203,573,1
211203,577,1
858804,581,1
211203,583,1
211203,585,1
786541,587,1
211203,589,1
805100,591,1
211203,592,1
211203,596,1
211203,600,1
833406,602,1
833406,603,1
843158,603,1
211203,605,1
190618,607,1
211203,609,1
211203,613,1
267990,615,1
835389,617,1
211203,619,1
211203,621,1
211203,623,1
211203,625,1
864622,630,1
833403,632,1
510220,634,2
211203,636,1
211203,640,1
211203,642,1
525295,644,1
688516,646,1
453938,647,1
785166,653,1
211203,654,1
211203,656,1
805100,660,1
736918,661,2
211203,664,1
211203,666,1
859445,667,1
549542,668,2
211203,669,1
357817,670,2
394531,670,4
211203,672,1
797444,673,6
211203,674,1
762894,676,1
211203,682,1
811617,684,1
211203,686,1
766764,690,1
211203,694,1
211203,700,1
811283,702,1
9216593,704,4
211203,708,1
868994,710,1
211203,712,1
843491,714,5
805100,716,1
211203,717,1
785300,719,1
197106,720,1
523677,723,1
562614,723,1
708160,726,20
211203,730,1
211203,734,1
847228,735,1
479398,736,1
411812,738,2
683493,738,1
124542,738,1
618908,738,1
239233,738,1
121452,742,1
124694,744,1
718563,748,2
175406,750,2
785166,752,1
211203,753,1
211203,755,1
211203,757,1
211203,759,1
720975,760,1
211203,761,1
877452,762,1
124728,763,1
644078,765,1
240685,767,1
161877,773,1
762185,775,1
625336,775,2
211203,776,1
103264,778,5
471934,780,1
764107,782,1
443211,783,1
638766,783,1
546773,783,1
443211,784,1
638766,784,1
546773,784,1
211203,786,1
799667,791,1
811631,793,1
124708,795,2
608853,796,1
714213,796,1
854785,796,1
820765,796,1
545781,796,1
793070,797,2
781236,801,2
300213,802,3
218048,803,2
507589,803,2
343270,803,1
659561,804,1
669250,804,1
865114,805,1
796124,807,1
854779,808,2
632173,808,1
811577,808,1
702164,811,1
211203,813,1
766987,814,1
631670,814,1
103268,815,2
712382,815,1
103267,816,4
762896,817,1
211203,819,1
776182,821,1
448407,821,2
849402,822,1
489268,823,1
867828,824,1
211203,826,1
767893,828,1
9811224,832,1
465490,832,1
875058,835,1
9800770,837,2
232345,837,1
859624,838,1
847393,839,1
606200,840,1
433627,841,1
329129,841,1
478893,842,1
878567,842,1
744928,842,1
253093,842,2
572822,842,1
455948,846,1
194993,847,1
9345539,850,2
839045,850,2
841811,854,6
461368,855,1
211203,856,1
211203,858,1
211203,860,1
878031,861,1
138395,867,24
211203,869,1
828360,871,1
219652,878,1
869365,879,1
211203,879,1
355396,881,4
218057,882,1
715295,883,1
752472,883,1
132578,883,1
715295,884,1
752472,884,1
132578,884,1
833400,886,1
833409,886,1
211203,886,1
618159,887,1
785166,891,1
211203,892,1
843491,893,2
652073,896,1
548510,899,1
836190,901,1
811610,907,2
794068,909,1
843160,911,5
821803,914,1
785166,916,1
211203,918,1
326159,920,1
497484,921,1
854551,921,1
712305,921,1
594310,921,1
211203,922,1
768067,924,1
428134,924,1
854630,924,1
124716,924,2
124732,924,2
526316,926,1
790418,930,1
790384,930,2
852037,930,2
210939,930,1
211203,930,1
211203,931,1
732644,935,4
211203,937,1
684849,939,2
806634,939,1
484170,945,1
211203,946,1
103264,950,10
877393,951,1
800635,952,1
803863,952,1
785166,955,1
211203,955,1
651670,959,1
159102,960,1
211203,961,1
9636893,963,2
764261,967,2
327478,967,4
327481,967,3
470349,967,2
764261,968,2
327478,968,4
327481,968,3
470349,968,2
819613,969,2
544056,971,1
9839123,973,1
871567,975,2
871565,975,2
504739,977,4
356271,977,1
858857,981,2
843498,983,1
740082,983,1
656986,985,1
853229,985,1
722637,991,2
618287,993,1
215421,995,1
294845,996,2
766764,997,2
874749,1001,1
321962,1002,1
211203,1003,1
480555,1004,1
554525,1004,1
468347,1004,1
115249,1004,1
122555,1004,1
503713,1004,1
670376,1004,1
211203,1005,1
843500,1006,1
440234,1006,1
869407,1009,1
129165,1009,1
9865260,1011,1
211203,1013,1
875084,1019,1
104725,1020,1
864623,1023,1
211203,1025,1
827207,1027,1
786289,1029,1
132588,1029,4
860480,1029,2
747401,1031,1
669176,1033,6
681007,1033,6
552151,1035,1
345986,1035,1
711821,1036,2
864674,1038,1
777728,1042,2
720141,1043,3
253093,1043,6
560961,1043,1
859281,1044,3
125458,1044,5
103267,1046,12
455724,1047,1
210939,1047,1
211203,1047,1
211203,1049,1
211203,1050,1
211203,1053,1
211203,1054,1
866945,1056,1
843162,1058,1
843157,1058,1
843166,1058,1
139301,1059,2
859282,1060,1
549637,1062,1
848105,1065,1
123048,1065,2
156419,1065,2
637354,1065,1
823526,1065,1
865106,1067,2
591150,1067,4
617991,1070,1
518207,1071,1
211203,1072,1
211203,1074,1
211203,1076,1
527005,1077,1
774505,1079,1
855570,1079,1
603240,1079,1
485076,1079,1
790212,1082,1
211203,1084,1
722634,1085,1
835933,1087,1
211203,1088,1
382224,1090,2
864622,1092,1
805100,1095,1
805102,1096,1
201936,1099,1
314981,1099,2
103556,1100,2
861164,1102,1
9512502,1104,2
841811,1106,1
859537,1108,1
839086,1109,1
864664,1110,1
124704,1112,1
211203,1114,1
211203,1121,1
678065,1125,1
775861,1129,3
745152,1134,1
603860,1134,1
858778,1135,1
211203,1136,1
103268,1140,6
870054,1140,3
797444,1141,5
211203,1143,1
786505,1145,1
854547,1145,1
156418,1153,12
854176,1154,1
656810,1156,1
662596,1156,1
726019,1156,1
810991,1160,3
211203,1162,1
785570,1164,2
811948,1164,1
431352,1164,1
867861,1164,2
785195,1165,1
870053,1167,1
211203,1169,1
103550,1170,3
861100,1172,1
773116,1174,1
785192,1176,2
790215,1177,2
864576,1179,1
211203,1180,1
211203,1183,1
625119,1185,1
419346,1186,1
864622,1190,1
789847,1192,1
856980,1194,1
542159,1199,4
833482,1200,1
867865,1200,1
864619,1202,1
864621,1204,1
692785,1206,5
211203,1208,1
211203,1211,1
354539,1213,10
790418,1215,1
202375,1215,1
139213,1215,1
662541,1215,1
321962,1216,4
124715,1218,1
9827350,1220,1
789847,1222,1
450353,1228,3
873692,1229,1
211203,1230,1
9864091,1234,1
211203,1236,1
833973,1240,1
786475,1246,1
843160,1251,2
518207,1253,2
103264,1254,2
861164,1257,1
864573,1258,1
559350,1259,1
555873,1261,2
671022,1263,2
419361,1265,1
750420,1265,1
864576,1267,2
211203,1270,1
124685,1272,1
678115,1274,1
789847,1276,1
700160,1277,1
596271,1280,1
124754,1281,2
211203,1283,1
211203,1284,1
854171,1292,1
762894,1295,1
522681,1296,1
705507,1297,1
614423,1299,1
696553,1299,1
506091,1299,1
861097,1300,1
124730,1302,2
786036,1306,1
867859,1308,1
786037,1308,1
687544,1308,1
869408,1309,5
550469,1310,17
687546,1311,1
629024,1312,1
211203,1313,1
709786,1315,1
838725,1317,1
184778,1317,1
156417,1317,10
665920,1318,4
745147,1321,1
696633,1323,14
861100,1325,1
700160,1327,1
776260,1328,1
124726,1331,1
211203,1333,1
150673,1333,2
841811,1333,1
256149,1333,2
786641,1333,1
843226,1333,2
101452,1336,1
343224,1336,1
206752,1336,1
335940,1338,4
868161,1338,1
869751,1339,1
384247,1340,1
124694,1341,2
754697,1343,2
869408,1345,2
843495,1347,1
673504,1348,1
805100,1349,1
786037,1349,2
211203,1349,1
805101,1351,1
805100,1353,1
518207,1354,1
786475,1356,1
9859840,1357,1
833831,1362,1
654866,1362,1
752625,1362,1
823517,1362,1
864577,1363,1
485257,1363,8
806634,1363,1
859440,1363,1
702097,1363,1
839247,1363,4
211203,1363,1
801330,1364,1
861100,1367,1
707395,1370,1
786475,1372,1
737120,1374,2
857372,1376,1
410660,1379,2
707395,1382,1
760695,1383,1
805101,1385,1
785163,1386,2
785163,1387,2
873692,1389,1
103550,1391,4
861010,1393,1
696673,1394,1
864573,1396,1
415937,1397,1
211203,1399,1
755296,1401,1
867859,1404,1
786475,1406,1
773171,1408,1
718003,1410,1
802176,1410,2
194891,1410,1
129165,1410,1
843308,1410,1
785193,1410,1
663181,1411,4
211203,1413,1
786037,1413,1
211203,1415,1
355506,1417,2
700160,1419,1
755379,1420,1
468347,1420,1
767995,1420,2
556013,1420,1
538469,1420,2
297020,1420,1
790172,1420,2
308088,1421,1
211203,1421,1
785163,1423,1
211203,1424,1
264882,1426,1
867859,1428,1
211203,1429,1
196382,1431,10
785195,1432,1
9864087,1434,1
678117,1435,1
518207,1438,1
723021,1440,3
788085,1440,2
831439,1440,2
781272,1440,1
139286,1440,1
374962,1440,1
755311,1442,1
795443,1446,1
786037,1448,4
785163,1450,1
211203,1452,1
814484,1453,1
785163,1455,1
864577,1456,1
211203,1460,1
843157,1461,2
103554,1463,2
785163,1465,1
786475,1467,1
462962,1469,11
307369,1471,3
608855,1472,6
434610,1472,2
785163,1473,1
410660,1477,2
561044,1477,1
638879,1477,1
309478,1477,1
374964,1477,1
106952,1477,1
786475,1483,1
211203,1485,1
813590,1487,1
866939,1488,1
520812,1488,1
813590,1489,1
854334,1491,1
103264,1493,2
209337,1494,2
715330,1495,1
877720,1499,1
678115,1501,3
777720,1502,1
211203,1502,1
813590,1504,1
762825,1506,2
211203,1508,1
864576,1510,1
873661,1513,1
859447,1515,1
869254,1517,1
755296,1519,2
785168,1521,1
392636,1526,1
785193,1528,2
154523,1529,1
785151,1533,2
852869,1535,3
211203,1537,1
827684,1541,2
308098,1541,2
867859,1542,1
794068,1544,1
723598,1545,1
220173,1550,5
265965,1550,2
785143,1557,6
211203,1558,1
866945,1560,1
211203,1561,1
9430642,1563,2
552526,1567,2
665868,1567,1
552855,1567,2
523851,1568,1
818591,1568,1
790418,1568,1
202375,1568,1
139213,1568,1
662541,1568,1
789060,1569,2
552526,1571,2
665868,1571,1
552855,1571,2
455724,1571,1
210939,1571,1
211203,1571,1
755295,1572,1
709961,1574,1
755296,1577,1
805100,1578,1
220173,1582,1
859623,1583,1
852124,1583,4
772499,1583,1
542159,1583,1
660943,1584,1
810991,1586,3
859447,1587,1
866939,1587,1
674869,1587,1
9860833,1587,1
211203,1587,1
384247,1587,3
842212,1587,1
694795,1587,1
233306,1587,1
864577,1589,2
786475,1593,1
786037,1595,3
805101,1599,1
867859,1601,1
702992,1602,1
831442,1602,1
835073,1602,1
835389,1603,1
215418,1603,1
323714,1603,2
465489,1603,2
287499,1606,1
835389,1608,1
843160,1613,1
461368,1615,2
468383,1615,3
504670,1615,1
544056,1615,1
786475,1616,1
430340,1618,2
831439,1618,2
737711,1618,1
865221,1618,1
140656,1618,3
124707,1620,1
805871,1622,1
229877,1624,1
702765,1624,2
633172,1624,1
211203,1626,1
786037,1628,1
786037,1629,2
786037,1631,2
211203,1632,1
662519,1634,6
809040,1636,4
264883,1638,2
264883,1640,2
707395,1644,1
790215,1646,1
9636841,1648,2
864577,1650,2
820266,1650,1
707395,1654,2
785143,1656,2
870343,1658,1
805100,1660,2
509483,1662,1
211203,1663,1
786037,1664,2
786037,1667,2
870343,1669,2
211203,1670,1
737121,1672,4
814000,1674,1
870343,1676,1
870343,1678,1
491942,1680,1
265229,1682,1
106362,1682,1
286090,1682,1
546419,1682,1
543030,1682,1
384741,1683,1
678115,1684,1
780933,1685,1
805101,1687,1
678115,1689,1
211203,1690,1
189044,1690,1
805101,1691,1
211203,1693,1
211203,1697,1
707395,1699,1
522805,1701,1
211203,1702,1
543144,1704,2
523820,1705,2
211203,1707,1
518207,1708,1
439327,1709,4
830866,1711,2
211203,1712,1
746268,1714,1
410660,1716,3
778455,1718,1
786037,1722,5
220202,1724,2
632268,1724,1
859445,1726,1
518207,1728,1
211203,1730,1
211203,1732,1
736831,1737,2
861291,1739,1
659497,1741,6
211203,1742,1
877117,1743,1
631223,1743,3
786036,1745,1
700160,1747,1
211203,1747,1
864577,1747,1
755311,1750,1
786769,1750,1
556255,1750,1
688599,1752,1
211203,1754,1
852869,1757,2
9636957,1761,1
9345449,1761,1
877720,1761,1
211203,1762,1
671016,1763,1
9874944,1765,2
103556,1766,1
864434,1768,1
755311,1768,1
814484,1770,3
308088,1772,1
859628,1773,1
211203,1774,1
867859,1775,1
864577,1779,1
864576,1781,1
852869,1782,1
864577,1784,1
864577,1786,1
737120,1788,4
211203,1790,1
762895,1792,1
764268,1794,1
678115,1796,4
786037,1797,1
868285,1799,1
537069,1801,1
488769,1802,2
750397,1802,2
790235,1802,2
211203,1803,1
820042,1805,1
789530,1809,1
785168,1811,2
813164,1813,6
785143,1815,4
867859,1819,1
211203,1820,1
843491,1825,3
211203,1826,1
799138,1828,1
709086,1830,1
803692,1831,1
736916,1832,2
831040,1834,1
265965,1836,3
801433,1837,2
513479,1837,1
211203,1838,1
224160,1838,3
852869,1842,3
736916,1844,1
786037,1846,1
867280,1849,1
785170,1849,1
854505,1852,1
841413,1855,1
211203,1856,1
852869,1858,2
835389,1862,1
786475,1867,1
805100,1869,1
785143,1871,6
867859,1873,1
408571,1875,5
523820,1876,2
520406,1876,1
811630,1879,1
864577,1885,2
864577,1887,2
264883,1889,2
289086,1892,2
420564,1892,1
864577,1893,3
342867,1894,4
660230,1896,3
789867,1897,1
737711,1898,1
240251,1899,1
211203,1901,1
342866,1903,12
211203,1905,1
786036,1907,1
211203,1908,1
786614,1910,1
786037,1912,2
822334,1913,1
839057,1914,2
811283,1915,1
790215,1917,2
660371,1919,1
776196,1919,1
736916,1923,1
833659,1924,1
9856089,1927,1
9865240,1927,1
836066,1928,1
307361,1929,1
810991,1930,2
518207,1931,1
843169,1933,8
839085,1935,1
766975,1936,1
778455,1937,1
554434,1938,1
859537,1940,1
843160,1941,2
705507,1941,1
121452,1942,1
820302,1944,3
103555,1946,1
683308,1947,2
674877,1947,1
870697,1947,2
786475,1949,1
265965,1950,1
792501,1950,1
870343,1951,2
864577,1953,1
864577,1954,1
720141,1955,3
199220,1955,1
211203,1957,1
859761,1959,1
854171,1961,1
211203,1965,1
854505,1966,1
443467,1966,1
211203,1967,1
870271,1969,1
211203,1971,1
846005,1973,1
545357,1975,1
864576,1977,1
211203,1977,1
786475,1979,2
211203,1982,1
211203,1984,1
211203,1986,1
859208,1987,1
771683,1988,1
596564,1988,1
678115,1989,1
696134,1991,1
661025,1991,1
307365,1992,1
9861414,1994,1
518207,1995,1
831844,1997,1
211203,1998,1
9860148,1999,1
211203,2001,1
841561,2004,4
696301,2005,1
853046,2005,1
780580,2005,1
239732,2005,1
559044,2007,2
736916,2009,1
859281,2012,2
786475,2017,2
498814,2019,1
872687,2021,1
211203,2026,1
843163,2028,1
678302,2029,6
265965,2030,1
765396,2031,3
786037,2033,20
518207,2036,1
606200,2039,1
786037,2043,12
824952,2047,3
859447,2048,1
859628,2048,1
131357,2051,1
785193,2052,2
211203,2054,1
785143,2055,6
802496,2058,2
139307,2059,6
211203,2062,1
713484,2064,1
431064,2064,1
800638,2064,1
174919,2064,1
713484,2065,1
431064,2065,1
800638,2065,1
174919,2065,1
211203,2065,1
211203,2066,1
755311,2070,1
211203,2071,1
9512502,2074,2
124707,2076,1
875105,2080,1
124728,2084,1
124727,2085,1
849403,2086,1
193775,2088,1
124707,2089,1
124685,2090,1
776871,2096,1
115248,2097,1
835943,2097,1
869244,2097,3
211203,2102,1
866945,2104,1
762894,2106,1
802175,2109,1
718291,2109,1
630902,2109,1
124705,2110,1
755311,2112,1
513479,2114,1
805100,2116,1
718005,2121,1
802176,2121,2
800638,2121,1
211203,2121,1
384247,2123,1
736335,2127,1
683493,2129,6
867859,2131,1
211203,2131,1
718296,2131,1
384247,2133,1
802176,2134,2
718291,2134,1
630902,2134,1
384247,2136,1
384247,2142,1
9860947,2144,1
778759,2145,1
615460,2145,1
874974,2145,1
415729,2145,1
468948,2145,1
377870,2145,1
789662,2145,1
122553,2145,2
880212,2145,1
428134,2147,1
103263,2148,6
698062,2148,1
859447,2149,1
861179,2155,1
869010,2156,4
625336,2157,1
781240,2158,1
825144,2162,1
211203,2164,1
220173,2164,1
805100,2164,1
861285,2165,1
211203,2166,1
211203,2167,1
415969,2167,1
831844,2169,1
264884,2173,2
102404,2174,1
211203,2174,1
835927,2175,1
859443,2175,1
518207,2177,2
518207,2179,2
710521,2183,1
442037,2188,1
838234,2188,1
741294,2189,1
197568,2190,2
801331,2190,1
518207,2194,1
842490,2196,1
518207,2198,2
211203,2201,1
859441,2201,1
871773,2201,2
786037,2202,1
103550,2204,4
635598,2205,1
793836,2205,2
707190,2207,2
548081,2207,1
354019,2207,1
831441,2207,1
164436,2207,1
327867,2207,1
335140,2207,1
393623,2207,2
408869,2207,3
115248,2207,1
410660,2207,1
537645,2208,1
103263,2211,5
641013,2214,1
211203,2216,1
300214,2217,5
211203,2218,1
518207,2220,1
813590,2222,1
866945,2224,1
211203,2227,1
681731,2229,1
722874,2231,1
216885,2231,1
767893,2235,1
9860954,2239,1
9874960,2241,3
812027,2243,1
103264,2245,5
870694,2246,3
618747,2246,1
761551,2246,1
870234,2251,1
843160,2256,12
789847,2258,1
785193,2260,4
211203,2261,1
767893,2262,1
544998,2265,2
211203,2266,1
835098,2268,1
849184,2269,1
820303,2271,6
211203,2273,1
867859,2276,1
211203,2277,1
764655,2281,4
549637,2283,2
861097,2284,1
211203,2285,1
774563,2291,1
762895,2293,1
615737,2293,1
783330,2296,1
103555,2298,10
211203,2298,1
785193,2300,1
211203,2302,1
812613,2303,1
703284,2305,1
211203,2306,1
458578,2307,1
211203,2311,1
659304,2313,1
783325,2314,1
651959,2314,1
855652,2314,1
852317,2314,2
855666,2314,1
211203,2314,1
831844,2315,1
750553,2316,1
856371,2316,1
833628,2316,1
868067,2316,1
690791,2317,1
659301,2318,1
196478,2318,1
103555,2319,4
103556,2326,5
811630,2329,1
846006,2330,1
831844,2335,1
745148,2337,8
877161,2339,1
785190,2341,1
124706,2343,1
847235,2346,2
773047,2347,1
880624,2351,1
118754,2352,1
103268,2354,4
786036,2355,5
681731,2357,1
843491,2359,2
654969,2361,1
709264,2361,1
669260,2361,1
538469,2361,1
786475,2362,1
211203,2363,1
722634,2364,1
455720,2364,2
455723,2364,1
632176,2365,1
801636,2368,1
790985,2369,4
393302,2369,3
343349,2369,2
9529178,2371,1
121452,2373,1
785170,2375,2
124708,2378,1
775767,2382,1
211203,2384,1
402537,2388,1
690519,2388,1
429298,2390,1
854476,2390,1
627173,2390,1
854258,2392,1
220201,2392,1
296459,2392,2
215421,2394,2
831156,2395,1
622796,2397,4
211203,2399,1
805101,2401,1
861010,2402,1
265229,2404,1
871758,2404,1
847228,2404,1
835229,2407,1
624919,2410,1
852668,2411,1
802511,2413,1
846006,2415,1
866945,2417,1
859447,2420,1
536198,2421,1
734341,2422,2
833708,2423,1
536198,2424,1
866931,2426,1
786475,2428,2
873772,2429,1
507525,2430,1
9861430,2430,1
9861420,2430,1
9858837,2430,1
9865155,2430,1
818061,2430,1
786037,2431,1
859441,2431,1
776179,2435,1
859447,2437,1
9864087,2437,1
705507,2437,1
692465,2438,1
632903,2438,2
805100,2439,1
211203,2440,1
835933,2441,4
224772,2441,1
787637,2442,1
211203,2446,1
859441,2446,1
767893,2448,1
785152,2450,1
211203,2453,1
9870078,2455,1
867859,2457,1
9870078,2463,1
215421,2464,1
813382,2465,1
542359,2465,1
873776,2466,1
873772,2466,1
843491,2468,1
504075,2469,1
139410,2470,1
218056,2471,2
786769,2471,1
843335,2471,1
644030,2474,1
504075,2475,1
211203,2475,1
514965,2477,1
691090,2477,2
525548,2479,1
211203,2480,1
700160,2486,1
786037,2488,2
9863968,2491,1
523849,2491,1
9863968,2493,1
849402,2496,2
219625,2496,2
106942,2496,7
880093,2496,2
453219,2496,6
114422,2498,4
211203,2500,1
504075,2500,1
776871,2501,1
859851,2502,2
9430642,2503,3
632372,2505,1
859282,2505,1
9839123,2507,1
811354,2508,1
786037,2509,1
154523,2511,2
786037,2512,3
809037,2514,2
843035,2516,2
785193,2517,2
864434,2519,1
211203,2523,1
785195,2525,1
767893,2527,1
810962,2529,2
736916,2530,2
669177,2534,1
765651,2535,2
211203,2537,1
9864053,2538,1
9860877,2539,1
9864018,2539,1
211203,2540,1
816472,2542,1
265965,2544,2
211203,2544,1
786475,2548,1
760532,2548,1
854331,2549,1
827017,2550,1
130531,2550,3
211203,2551,1
835907,2553,2
854171,2555,2
755295,2556,1
103556,2557,1
660230,2559,1
859447,2559,1
805872,2560,1
878564,2563,1
818692,2563,1
786037,2565,2
843160,2567,4
426845,2568,1
103263,2569,5
849202,2571,1
594064,2573,8
790958,2575,1
233789,2577,1
699609,2577,1
9828617,2577,1
211203,2579,1
545640,2581,1
409143,2581,12
771682,2581,1
123064,2581,6
636795,2581,6
109262,2581,6
156419,2581,12
211203,2582,1
694906,2584,1
757999,2585,1
139296,2585,1
382223,2588,1
211203,2590,1
843156,2592,1
211203,2593,1
681007,2594,6
786037,2596,4
786037,2598,4
835827,2598,1
805100,2600,4
211203,2603,1
196477,2605,1
812602,2608,1
211203,2611,1
211203,2612,1
786037,2614,2
710386,2615,1
843155,2615,1
211203,2616,1
861291,2617,1
737120,2619,4
211203,2620,1
828613,2623,1
211203,2624,1
211203,2625,1
786036,2626,1
835078,2627,5
736916,2629,1
335138,2631,4
691997,2632,2
809034,2634,1
9512502,2636,4
786037,2638,4
692226,2640,1
786475,2642,1
264882,2645,4
831310,2647,1
211203,2648,1
211203,2649,1
854761,2651,1
805101,2653,1
496622,2654,1
813590,2656,1
9820175,2657,1
9867610,2657,1
861097,2659,2
211203,2660,1
805101,2662,1
709085,2662,1
843152,2664,1
864434,2666,1
741938,2671,1
748582,2676,1
805793,2678,1
211203,2679,1
831846,2681,3
211203,2683,1
705503,2684,1
496615,2685,2
786037,2696,1
786037,2698,3
803659,2700,1
777688,2700,1
211203,2701,1
805103,2703,2
705503,2704,1
488769,2704,1
318366,2704,1
663467,2704,1
552855,2704,1
198290,2704,1
253813,2704,1
704921,2704,1
144445,2705,3
702765,2710,1
874494,2712,11
786037,2719,1
798886,2721,2
705499,2722,1
747457,2724,1
736916,2726,2
755295,2728,2
870343,2730,1
718563,2731,2
843155,2734,2
870343,2734,1
490895,2735,1
805102,2737,1
764107,2738,1
554525,2739,6
632903,2741,8
699635,2743,1
599243,2746,1
872687,2747,1
787837,2748,2
599243,2749,1
399842,2750,50
859447,2754,1
211203,2754,1
854363,2758,6
211203,2759,1
678115,2765,2
211203,2767,1
786037,2769,3
736916,2771,1
786037,2772,2
864888,2773,2
211203,2776,1
552419,2777,2
663467,2777,1
859438,2777,1
798651,2777,1
346964,2777,1
378060,2777,1
666457,2777,1
793002,2779,2
211203,2782,1
144445,2783,6
843162,2784,2
870344,2784,1
211203,2784,1
866945,2790,2
817681,2791,3
767893,2793,1
549636,2794,1
211203,2797,1
641844,2799,1
861285,2800,1
660371,2800,1
211203,2801,1
696903,2802,2
820151,2803,1
864888,2805,1
863877,2809,1
543030,2810,1
863880,2810,1
878213,2811,1
878210,2811,1
491943,2812,1
760532,2816,1
786037,2818,1
211203,2819,1
